"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit","Real Factor Income Threshold"
"1976","1","Top 10%","adult_equal_split","0.21819364","14268975.339638589","11977390.355161002","9480595.109764365","2467236725596.571","0.34382072283862664","0","172909.1730043639","96283.33886367356"
"1976","2","Top 10%","adult_equal_split","0.22039157666666667","14347945.84816429","12043678.35389404","9533064.746867277","2479796777732.811","0.3434256287751467","-0.00044124187064625175","172832.87823741557","96580.50239714912"
"1976","3","Top 10%","adult_equal_split","0.22324130666666667","14419313.529162595","12103584.524386195","9580482.90831468","2501271440468.4097","0.343918931948384","0.0032246755265110494","173466.74898286033","96927.62966122282"
"1976","4","Top 10%","adult_equal_split","0.2272430466666667","14488845.613463573","12161949.891433904","9626681.46139974","2501030215881.1265","0.34302469990960627","-0.0016860950639475901","172617.63170124998","96929.9056840518"
"1977","1","Top 10%","adult_equal_split","0.23089615666666666","14564850.919842131","12224986.342570787","9695754.68849793","2535364356360.223","0.3437966395581561","0.0067376324740111215","174074.1714634525","97449.5128546933"
"1977","2","Top 10%","adult_equal_split","0.23415516666666666","14647017.773399612","12292811.85034562","9778249.628274413","2619138341481.7847","0.3464237951256527","0.03416823969414693","178817.17507289373","99023.48029136535"
"1977","3","Top 10%","adult_equal_split","0.23700487999999997","14718734.862460082","12351865.867631711","9853800.02717086","2681831813483.7314","0.34824975126135127","0.05376318704488071","182205.32121437314","100247.97884087905"
"1977","4","Top 10%","adult_equal_split","0.24212833","14788682.591063663","12409434.514920564","9928178.867618972","2686684046104.7266","0.34753463979238425","0.050676636184636976","181671.6282576925","100113.0961364816"
"1978","1","Top 10%","adult_equal_split","0.245645","14867105.640715206","12471363.67631046","10000664.830009697","2695354316804.0977","0.34651070348790436","0.04850716425113788","181296.506659815","100406.2781060498"
"1978","2","Top 10%","adult_equal_split","0.25034402","14950922.543783762","12536436.866315657","10073000.54394242","2789915863343.2466","0.3481191052470185","0.07920781375885497","186604.9305768912","102762.48328338655"
"1978","3","Top 10%","adult_equal_split","0.25459588666666666","15025653.142681101","12593886.03469492","10139229.98454316","2796267059034.1665","0.3464956216109975","0.07628491599116984","186099.53474110443","103161.18976433158"
"1978","4","Top 10%","adult_equal_split","0.25980271","15096784.426325165","12648317.403738678","10203033.665656747","2821040440638.5645","0.3458482640785887","0.08070416372983828","186863.663212899","103971.77535583089"
"1979","1","Top 10%","adult_equal_split","0.26453962","15174381.159068555","12705701.594106324","10268275.935682245","2838571621173.2153","0.34563999813892804","0.08185942811869423","187063.41902297747","104170.86451344857"
"1979","2","Top 10%","adult_equal_split","0.27101971999999996","15255915.483050697","12765146.738552714","10334722.210127167","2822241107114.0977","0.34569730564491663","0.06988674136763649","184993.2316582118","102873.9848289354"
"1979","3","Top 10%","adult_equal_split","0.27694654333333335","15331417.41425553","12819540.567688003","10397086.827423586","2829535087341.7427","0.34596544002652124","0.06736938555792477","184557.95774699678","102492.39056551996"
"1979","4","Top 10%","adult_equal_split","0.28208517","15403587.61999634","12871149.587891521","10457190.647102388","2837332405479.7266","0.34619306572069214","0.06529601210078326","184199.45245719329","102404.99955068166"
"1980","1","Top 10%","adult_equal_split","0.28801198","15483029.560008863","12935264.250810673","10524642.88088519","2807914967215.392","0.3439130968315862","0.048841771147605184","181354.36326156472","101890.60790714649"
"1980","2","Top 10%","adult_equal_split","0.2948634433333333","15563035.837851008","13003064.503519677","10593684.293945715","2745653422488.4106","0.34325683691775993","0.02031287098315076","176421.45472740484","99863.90546459968"
"1980","3","Top 10%","adult_equal_split","0.30144965333333335","15628651.58773444","13058840.381946886","10652915.736104442","2792728677094.365","0.34727219733040293","0.03344936197320351","178692.87452067414","100145.4894114998"
"1980","4","Top 10%","adult_equal_split","0.3093015666666667","15693361.940249091","13113858.027581096","10711503.938531773","2888860435547.747","0.351264292893411","0.06461489060100732","184081.68030195154","101808.09566952928"
"1981","1","Top 10%","adult_equal_split","0.31744905333333334","15767527.464290552","13176899.885789847","10774441.331506899","2921676511846.2246","0.352348337689688","0.07164390781058756","185297.0618546935","102204.9835938466"
"1981","2","Top 10%","adult_equal_split","0.32373970999999996","15845099.065149069","13242850.864625111","10838667.210488265","2899671997169.897","0.35051146675017736","0.05836600577171638","183001.1907939193","101694.11788212079"
"1981","3","Top 10%","adult_equal_split","0.32983325","15908928.208457587","13297316.409881657","10893493.723775627","2967087380992.35","0.3534155715339293","0.07862723242967931","186504.54273940163","102510.77868840453"
